"dateofsleep","total_duration","total_duration_not_awake","total_deep","total_light","total_rem","total_wake","total_awake","total_restless","total_asleep","seven_day_avg_duration","thirty_day_avg_duration"
"2022-04-17",10.016666666666667,8.866666666666667,0.9,6.7,1.2666666666666666,1.15,0,0,0,7.4190476190476184,8.077419354838709
"2022-04-18",8.333333333333334,6.766666666666667,0.85,5.116666666666666,0.8,1.5666666666666667,0,0,0,7.6571428571428575,8.123118279569892
"2022-04-19",8.35,6.9,1.2333333333333334,5.233333333333333,0.43333333333333335,1.45,0,0,0,7.792857142857144,8.080645161290322
"2022-04-20",8.166666666666666,6.883333333333334,1,5.483333333333333,0.4,1.2833333333333334,0,0,0,7.904761904761905,8.067204301075268
"2022-04-21",7.766666666666667,6.8,1.3,4.033333333333333,1.4666666666666666,0.9666666666666667,0,0,0,8.123809523809523,8.07258064516129
"2022-04-22",6.983333333333333,5.916666666666667,1.7666666666666666,2.9833333333333334,1.1666666666666667,1.0666666666666667,0,0,0,8.142857142857142,8.061827956989246
"2022-04-23",9.266666666666667,8.133333333333333,1.3,3.9,1.65,1.1333333333333333,0.016666666666666666,0,1.2666666666666666,8.411904761904761,8.101075268817205
"2022-04-24",8.1,6.783333333333333,1.1833333333333333,4.416666666666667,1.1833333333333333,1.3166666666666667,0,0,0,8.138095238095238,8.093548387096773
"2022-04-25",7.466666666666667,6.433333333333334,1.3,4.1,1.0333333333333334,1.0333333333333334,0,0,0,8.014285714285714,8.08279569892473
"2022-04-26",7.816666666666666,6.9,1.4333333333333333,4.083333333333333,1.3833333333333333,0.9166666666666666,0,0,0,7.938095238095239,8.054301075268816
"2022-04-27",7.433333333333334,6.233333333333333,1.5833333333333333,3.6333333333333333,1.0166666666666666,1.2,0,0,0,7.833333333333335,7.9994623655913975
"2022-04-28",7.716666666666667,6.95,1.15,4.1,1.7,0.7666666666666667,0,0,0,7.826190476190478,8.027956989247311
"2022-04-29",7.15,5.816666666666666,1.2833333333333334,4.066666666666666,0.4666666666666667,1.3333333333333333,0,0,0,7.850000000000001,8.000537634408603
"2022-04-30",5.75,4.766666666666667,1.2666666666666666,2.316666666666667,1.1833333333333333,0.9833333333333333,0,0,0,7.347619047619047,7.918279569892474
"2022-05-01",7.9,6.9,1.05,4.983333333333333,0.8666666666666667,1,0,0,0,7.319047619047619,7.945161290322582
"2022-05-02",7.183333333333334,6.45,0.8333333333333334,4.85,0.7666666666666667,0.7333333333333333,0,0,0,7.278571428571429,7.940322580645162
"2022-05-03",11.116666666666667,9.95,1.45,5.366666666666666,0.85,1.1666666666666667,0.016666666666666666,0.23333333333333334,2.033333333333333,7.750000000000001,8.0247311827957
"2022-05-04",8.783333333333333,7.283333333333333,1.1166666666666667,5.4,0.7666666666666667,1.5,0,0,0,7.942857142857143,8.026344086021506
"2022-05-05",9.166666666666666,8,1.3333333333333333,4.816666666666666,1.85,1.1666666666666667,0,0,0,8.15,8.066129032258065
